movie,chapter,character,listener,dialog
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Harry Potter,Albus Dumbledore,"Professor, why am I so important to"
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Albus Dumbledore,Harry Potter,"An excellent question, Harry. The answer lies in the prophesy."
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Harry Potter,Albus Dumbledore,"Sir, it got smashed."
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Albus Dumbledore,Harry Potter,That was not the only place the Prophesy is preserved.
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Sybill Trelawney,,"""The One with the power to vanquish the Dark Lord approaches....Born to"
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Harry Potter,Albus Dumbledore,"I'm not sure I understand all that, sir..."
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Harry Potter,Albus Dumbledore,And...it means me?
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Albus Dumbledore,,"Interestingly, there were two boys whom the prophesy could have been referring to. You and Neville Longbottom."
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Harry Potter,Albus Dumbledore,"So it's not necessarily me, sir?"
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Harry Potter,Albus Dumbledore,What if he chose wrong?
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Harry Potter,Albus Dumbledore,Why didn't he wait? Why attack when we were babies?
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Albus Dumbledore,Harry Potter,"Voldemort had an informant listening to my meeting with Professor Trelawney. Fortunately he was discovered before he could hear the entire prophesy. Voldemort had to act immediately, he didn't know the rest of the prophesy. All he knew was that he had to destroy the child who would grow to be a threat to his power."
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Harry Potter,Albus Dumbledore,But I don't have any special powers.
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Albus Dumbledore,Harry Potter,There is a room in the Department of Mysteries which is kept locked at all times. It contains a force so wonderful and yet terrible that it is greater than death itself. It is that power which you have incredible amounts of and of which Voldemort has none.
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Harry Potter,Albus Dumbledore,"What is it, sir?"
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Albus Dumbledore,Harry Potter,"There is only the end of the prophesy which we haven't addressed. It states ""neither can live while the other survives."""
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Albus Dumbledore,Harry Potter,"It is the final burden which I must place on you, Harry."
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Harry Potter,Albus Dumbledore,One of us has to kill the other...in the end.
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Albus Dumbledore,Harry Potter,Yes.
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Nearly Headless Nick,Harry Potter,"Hello, Harry."
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Harry Potter,Nearly Headless Nick,"Hey, Nick."
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Nearly Headless Nick,Harry Potter,"I--Well, Madam Pomfrey asked me to tell you that Hermione and Ron are out of the hospital wing."
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Harry Potter,Nearly Headless Nick,Oh. Thanks.
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Harry Potter,Nearly Headless Nick,"Nick, I was wondering about something?"
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Nearly Headless Nick,Harry Potter,I've been expecting this...
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Harry Potter,Nearly Headless Nick,Expecting what?
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Nearly Headless Nick,Harry Potter,A lot of people come to me when they've lost loved ones.
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Harry Potter,Nearly Headless Nick,I expect so...
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Nearly Headless Nick,Harry Potter,"He's not coming back, Harry."
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Harry Potter,Nearly Headless Nick,Why?
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Nearly Headless Nick,Harry Potter,I'm sorry I couldn't be of more
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Hermione Granger,Harry Potter,Harry!
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Harry Potter,Hermione Granger,How are you?
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Ron Weasley,Harry Potter,"Good as new, mate."
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Harry Potter,Ron Weasley,Better.
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Hermione Granger,Harry Potter,"Come on, let's go in to the feast."
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Harry Potter,Hermione Granger,I've got something to tell you. Something important.
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Harry Potter,Hermione Granger,But not right now. I'm not ready.
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Hermione Granger,Harry Potter,"Take your time, Harry. We'll be here when you are."
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Luna Lovegood,Harry Potter,"Hello, Harry."
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Luna Lovegood,Harry Potter,It's the last night and I need to pack.
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Luna Lovegood,Harry Potter,"Oh, people take my things and hide them."
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Luna Lovegood,Harry Potter,"I don't think they like me much. Some of them call me ""Loony"" Lovegood."
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Harry Potter,Luna Lovegood,Do you need any help looking?
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Luna Lovegood,Harry Potter,Oh no. It all turns up in the end.
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Luna Lovegood,Harry Potter,Sirius Black. Hermione said he was your Godfather.
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Harry Potter,Luna Lovegood,Yeah.
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Luna Lovegood,Harry Potter,My mother. I was nine.
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Harry Potter,Luna Lovegood,I'm sorry.
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Luna Lovegood,Harry Potter,It's okay. It's not like I'll never see her again.
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Harry Potter,Luna Lovegood,Isn't it?
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Luna Lovegood,Harry Potter,Don't tell me you didn't hear them. The voices beyond the Veil?
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Luna Lovegood,Harry Potter,"They were just out of sight, that's all."
Harry Potter and the Order of the Phoenix,The Lost Prophecy,Luna Lovegood,Harry Potter,"Of course. Anyway, my mum always said the things we lose have a way of coming back to us in the end. If not always in the way we expect. Think I'll just go have some pudding."
Harry Potter and the Order of the Phoenix,A way of coming back,Harry Potter,"Ron Weasley, Hermione Granger",I've been thinking about something Dumbledore said to me.
Harry Potter and the Order of the Phoenix,A way of coming back,Hermione Granger,Harry Potter,What's that ?
Harry Potter and the Order of the Phoenix,A way of coming back,Harry Potter,"Ron Weasley, Hermione Granger",That even though we've got a fight ahead of us we've got one thing that Voldemort doesn't have.
Harry Potter and the Order of the Phoenix,A way of coming back,Ron Weasley,Harry Potter,Yeah ?
Harry Potter and the Order of the Phoenix,A way of coming back,Harry Potter,"Ron Weasley, Hermione Granger",Something worth fighting for
